"Size";"CustomDoublyLinkedList()";"CustomDoublyLinkedList(Collection)";"add(T)";"add(int, T)";"addAll(Collection)";"addAll(int, Collection)";"addFirst(T)";"addLast(T)";"clone()";"contains(T)";"element()";"equals(Object)";"get(int)";"hashCode()";"indexOf(T)";"lastIndexOf(T)";"offer(T)";"offerFirst(T)";"offerLast(T)";"peek()";"peekFirst()";"peekLast()";"poll()";"pollFirst()";"pollLast()";"push(T)";"pop()";"remove()";"remove(int)";"remove(T)";"removeFirst()";"removeFirstOccurrence(T)";"removeLast()";"removeLastOccurrence(T)";"set(int, T)";"size()";"toArray()";"toString()"
1000;12037;59424;43761;7091;63719;86603;142;68;24887;29687;136;34570;7454;266;9249;272;105;211;152;124;198;118;291;307;367;207;308;204;2282;7110;133;7025;190;3695;6780;114;17727;106182
2500;53;43469;49442;5190;35589;51208;72;60;23702;7864;23;21044;5623;199;7262;252;109;126;127;29;29;27;59;54;70;121;53;84;4461;15762;54;16583;58;8269;5554;36;14972;87069
5000;50;73402;37959;8806;59452;86276;77;63;20360;18099;179;20131;8344;180;17836;120;172;182;126;260;204;198;117;85;271;430;339;30;8886;35018;108;36652;89;18499;9197;32;17811;182246
7500;55;66591;95049;13047;33710;45224;71;62;31120;26026;189;30034;12747;228;25645;35;205;95;150;31;181;179;25;25;276;190;209;22;13254;53441;32;52910;25;26902;12694;22;27461;231079
10000;54;62880;55883;16242;43323;58632;78;67;46725;34392;25;38626;16287;148;34145;34;78;105;72;28;28;27;30;52;44;90;33;27;16247;69704;25;68963;27;35191;16093;21;36125;241215
25000;50;195942;248211;39713;109282;162479;87;60;100804;82206;27;94081;39460;155;83012;76;77;79;75;68;32;28;25;28;37;89;32;29;39190;166567;24;163967;31;79935;39385;25;76052;665030
50000;50;240116;276434;83315;225135;359579;86;63;215373;138488;25;192824;78252;147;143514;52;88;84;70;31;37;25;41;67;52;94;35;34;78630;290385;38;299000;33;140113;78452;27;119503;1388849
100000;50;544920;546583;164216;526876;746505;89;62;430454;268902;25;455413;177985;146;265204;37;79;81;73;29;32;30;34;29;45;121;38;33;164141;543707;33;539528;33;258098;163342;22;220170;2945323
250000;50;1271693;1717732;494122;1710302;2418814;130;61;1207683;733180;31;994775;499774;204;746691;56;88;79;75;37;35;30;47;96;55;92;53;198;498035;1475087;35;1455008;86;764421;508841;26;715049;7652855
500000;58;2621038;3359478;830337;2317248;3838697;93;63;3088804;1202652;27;1980520;841429;415;1358618;32;113;113;87;19;22;23;25;24;301;90;28;54;832152;3003979;25;2629766;26;1307837;833774;15;1373395;16589396
1000000;55;6560953;7194398;1648665;5424029;6083700;90;62;4289925;2485369;29;3933546;1651021;332;2809128;31;92;67;70;29;30;24;28;30;105;99;24;63;1661847;5333137;29;5240672;26;2624807;1658282;26;69591695;48503288
